A | סופרמרקט | department | depth 0 | path A | pathHe סופרמרקט | url https://www.shufersal.co.il/online/he/A
A0409 | ירקות ופירות מצוננים | depth5 | parent A0410 פירות וירקות | depth 5 | path A>A24>A04>A2402>A0410>A0409 | pathHe סופרמרקט > רשימות > פירות וירקות > החברים באים להמבורגרים > פירות וירקות > ירקות ופירות מצוננים | url https://www.shufersal.co.il/online/he/c/A0409
A041004 | ירקות ופירות כשרים | depth6 | parent A0409 ירקות ופירות מצוננים | depth 6 | path A>A24>A04>A2402>A0410>A0409>A041004 | pathHe סופרמרקט > רשימות > פירות וירקות > החברים באים להמבורגרים > פירות וירקות > ירקות ופירות מצוננים > ירקות ופירות כשרים | url https://www.shufersal.co.il/online/he/c/A041004
A041001 | ירקות טריים | depth7 | parent A041004 ירקות ופירות כשרים | depth 7 | path A>A24>A04>A2402>A0410>A0409>A041004>A041001 | pathHe סופרמרקט > רשימות > פירות וירקות > החברים באים להמבורגרים > פירות וירקות > ירקות ופירות מצוננים > ירקות ופירות כשרים > ירקות טריים | url https://www.shufersal.co.il/online/he/c/A041001
A040901 | ירקות מצוננים/סלטים | leaf | parent A041001 ירקות טריים | depth 8 | path A>A24>A04>A2402>A0410>A0409>A041004>A041001>A040901 | pathHe סופרמרקט > רשימות > פירות וירקות > החברים באים להמבורגרים > פירות וירקות > ירקות ופירות מצוננים > ירקות ופירות כשרים > ירקות טריים > ירקות מצוננים/סלטים | url https://www.shufersal.co.il/online/he/c/A040901
A16 | מזון מקורר קפואים ונקניקים | subCategory | parent A24 רשימות | depth 2 | path A>A24>A16 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים | url https://www.shufersal.co.il/online/he/c/A16
A07 | מוצרי בשר, עוף ודגים | depth3 | parent A16 מזון מקורר קפואים ונקניקים | depth 3 | path A>A24>A16>A07 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים | url https://www.shufersal.co.il/online/he/c/A07
A2414 | חוגגים על האש | depth4 | parent A07 מוצרי בשר, עוף ודגים | depth 4 | path A>A24>A16>A07>A2414 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חוגגים על האש | url https://www.shufersal.co.il/online/he/c/A2414
A1603 | מוצרי בשר, עוף ודגים קפואים | depth5 | parent A2414 חוגגים על האש | depth 5 | path A>A24>A16>A07>A2414>A1603 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חוגגים על האש > מוצרי בשר, עוף ודגים קפואים | url https://www.shufersal.co.il/online/he/c/A1603
A0714 | מוצרי עוף טריים וקפואים | depth6 | parent A1603 מוצרי בשר, עוף ודגים קפואים | depth 6 | path A>A24>A16>A07>A2414>A1603>A0714 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חוגגים על האש > מוצרי בשר, עוף ודגים קפואים > מוצרי עוף טריים וקפואים | url https://www.shufersal.co.il/online/he/c/A0714
A160301 | עוף והודו קפוא | depth7 | parent A0714 מוצרי עוף טריים וקפואים | depth 7 | path A>A24>A16>A07>A2414>A1603>A0714>A160301 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חוגגים על האש > מוצרי בשר, עוף ודגים קפואים > מוצרי עוף טריים וקפואים > עוף והודו קפוא | url https://www.shufersal.co.il/online/he/c/A160301
A071404 | עוף קפוא | leaf | parent A160301 עוף והודו קפוא | depth 8 | path A>A24>A16>A07>A2414>A1603>A0714>A160301>A071404 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חוגגים על האש > מוצרי בשר, עוף ודגים קפואים > מוצרי עוף טריים וקפואים > עוף והודו קפוא > עוף קפוא | url https://www.shufersal.co.il/online/he/c/A071404
A2412 | אין לי זמן לבשל | depth4 | parent A07 מוצרי בשר, עוף ודגים | depth 4 | path A>A24>A16>A07>A2412 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל | url https://www.shufersal.co.il/online/he/c/A2412
A2411 | כל ילדי השכונה אצלנו בבית | depth5 | parent A2412 אין לי זמן לבשל | depth 5 | path A>A24>A16>A07>A2412>A2411 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית | url https://www.shufersal.co.il/online/he/c/A2411
