A | סופרמרקט | department | depth 0 | path A | pathHe סופרמרקט | url https://www.shufersal.co.il/online/he/A
A290101 | SBOX אשראי שופרסל | leaf | parent A310213 דאודורנט סטיק לגבר | depth 13 | path B>A>B05>B04>A31>A29>B0504>B0405>A3102>A2901>B050401>B040506>A310213>A290101 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > דאודורנטים לנשים ולגברים > דאורדורנט לנשים ולגברים > SBOX אשראי שופרסל > דאודורנט לגבר > דאודורנט לגבר > דאודורנט סטיק לגבר > SBOX אשראי שופרסל | url https://www.shufersal.co.il/online/he/c/A290101
A51 | SUPER SALE | depth4 | parent B04 רחצה והגיינה | depth 4 | path B>A>B05>B04>A51 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > SUPER SALE | url https://www.shufersal.co.il/online/he/c/A51
A31 | פארם וטיפוח | depth5 | parent A51 SUPER SALE | depth 5 | path B>A>B05>B04>A51>A31 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > SUPER SALE > פארם וטיפוח | url https://www.shufersal.co.il/online/he/c/A31
B0504 | מוצרי טיפוח לגבר - פנים / גוף | depth6 | parent A31 פארם וטיפוח | depth 6 | path B>A>B05>B04>A51>A31>B0504 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > SUPER SALE > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף | url https://www.shufersal.co.il/online/he/c/B0504
B0405 | דאודורנטים לנשים ולגברים | depth7 | parent B0504 מוצרי טיפוח לגבר - פנים / גוף | depth 7 | path B>A>B05>B04>A51>A31>B0504>B0405 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > SUPER SALE > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > דאודורנטים לנשים ולגברים | url https://www.shufersal.co.il/online/he/c/B0405
A5101 | חגיגת מבצעים בסופר | depth8 | parent B0405 דאודורנטים לנשים ולגברים | depth 8 | path B>A>B05>B04>A51>A31>B0504>B0405>A5101 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > SUPER SALE > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > דאודורנטים לנשים ולגברים > חגיגת מבצעים בסופר | url https://www.shufersal.co.il/online/he/c/A5101
A3102 | דאורדורנט לנשים ולגברים | depth9 | parent A5101 חגיגת מבצעים בסופר | depth 9 | path B>A>B05>B04>A51>A31>B0504>B0405>A5101>A3102 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > SUPER SALE > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > דאודורנטים לנשים ולגברים > חגיגת מבצעים בסופר > דאורדורנט לנשים ולגברים | url https://www.shufersal.co.il/online/he/c/A3102
B050401 | דאודורנט לגבר | depth10 | parent A3102 דאורדורנט לנשים ולגברים | depth 10 | path B>A>B05>B04>A51>A31>B0504>B0405>A5101>A3102>B050401 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > SUPER SALE > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > דאודורנטים לנשים ולגברים > חגיגת מבצעים בסופר > דאורדורנט לנשים ולגברים > דאודורנט לגבר | url https://www.shufersal.co.il/online/he/c/B050401
B040506 | דאודורנט לגבר | depth11 | parent B050401 דאודורנט לגבר | depth 11 | path B>A>B05>B04>A51>A31>B0504>B0405>A5101>A3102>B050401>B040506 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > SUPER SALE > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > דאודורנטים לנשים ולגברים > חגיגת מבצעים בסופר > דאורדורנט לנשים ולגברים > דאודורנט לגבר > דאודורנט לגבר | url https://www.shufersal.co.il/online/he/c/B040506
A510102 | SUPER SALE | depth12 | parent B040506 דאודורנט לגבר | depth 12 | path B>A>B05>B04>A51>A31>B0504>B0405>A5101>A3102>B050401>B040506>A510102 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > SUPER SALE > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > דאודורנטים לנשים ולגברים > חגיגת מבצעים בסופר > דאורדורנט לנשים ולגברים > דאודורנט לגבר > דאודורנט לגבר > SUPER SALE | url https://www.shufersal.co.il/online/he/c/A510102
A310213 | דאודורנט סטיק לגבר | leaf | parent A510102 SUPER SALE | depth 13 | path B>A>B05>B04>A51>A31>B0504>B0405>A5101>A3102>B050401>B040506>A510102>A310213 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > רחצה והגיינה > SUPER SALE > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > דאודורנטים לנשים ולגברים > חגיגת מבצעים בסופר > דאורדורנט לנשים ולגברים > דאודורנט לגבר > דאודורנט לגבר > SUPER SALE > דאודורנט סטיק לגבר | url https://www.shufersal.co.il/online/he/c/A310213
A31 | פארם וטיפוח | depth3 | parent B05 גברים | depth 3 | path B>A>B05>A31 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח | url https://www.shufersal.co.il/online/he/c/A31
A29 | SBOX אשראי שופרסל | depth4 | parent A31 פארם וטיפוח | depth 4 | path B>A>B05>A31>A29 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל | url https://www.shufersal.co.il/online/he/c/A29
B0504 | מוצרי טיפוח לגבר - פנים / גוף | depth5 | parent A29 SBOX אשראי שופרסל | depth 5 | path B>A>B05>A31>A29>B0504 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף | url https://www.shufersal.co.il/online/he/c/B0504
A3120 | מיוחדים בפארם ותינוקות | depth6 | parent B0504 מוצרי טיפוח לגבר - פנים / גוף | depth 6 | path B>A>B05>A31>A29>B0504>A3120 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות | url https://www.shufersal.co.il/online/he/c/A3120
A3102 | דאורדורנט לנשים ולגברים | depth7 | parent A3120 מיוחדים בפארם ותינוקות | depth 7 | path B>A>B05>A31>A29>B0504>A3120>A3102 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות > דאורדורנט לנשים ולגברים | url https://www.shufersal.co.il/online/he/c/A3102
A2901 | SBOX אשראי שופרסל | depth8 | parent A3102 דאורדורנט לנשים ולגברים | depth 8 | path B>A>B05>A31>A29>B0504>A3120>A3102>A2901 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות > דאורדורנט לנשים ולגברים > SBOX אשראי שופרסל | url https://www.shufersal.co.il/online/he/c/A2901
B050401 | דאודורנט לגבר | depth9 | parent A2901 SBOX אשראי שופרסל | depth 9 | path B>A>B05>A31>A29>B0504>A3120>A3102>A2901>B050401 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות > דאורדורנט לנשים ולגברים > SBOX אשראי שופרסל > דאודורנט לגבר | url https://www.shufersal.co.il/online/he/c/B050401
A312019 | חגיגת טיפוח | depth10 | parent B050401 דאודורנט לגבר | depth 10 | path B>A>B05>A31>A29>B0504>A3120>A3102>A2901>B050401>A312019 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות > דאורדורנט לנשים ולגברים > SBOX אשראי שופרסל > דאודורנט לגבר > חגיגת טיפוח | url https://www.shufersal.co.il/online/he/c/A312019
A310213 | דאודורנט סטיק לגבר | depth11 | parent A312019 חגיגת טיפוח | depth 11 | path B>A>B05>A31>A29>B0504>A3120>A3102>A2901>B050401>A312019>A310213 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות > דאורדורנט לנשים ולגברים > SBOX אשראי שופרסל > דאודורנט לגבר > חגיגת טיפוח > דאודורנט סטיק לגבר | url https://www.shufersal.co.il/online/he/c/A310213
A290101 | SBOX אשראי שופרסל | leaf | parent A310213 דאודורנט סטיק לגבר | depth 12 | path B>A>B05>A31>A29>B0504>A3120>A3102>A2901>B050401>A312019>A310213>A290101 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות > דאורדורנט לנשים ולגברים > SBOX אשראי שופרסל > דאודורנט לגבר > חגיגת טיפוח > דאודורנט סטיק לגבר > SBOX אשראי שופרסל | url https://www.shufersal.co.il/online/he/c/A290101
A3102 | דאורדורנט לנשים ולגברים | depth6 | parent B0504 מוצרי טיפוח לגבר - פנים / גוף | depth 6 | path B>A>B05>A31>A29>B0504>A3102 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > דאורדורנט לנשים ולגברים | url https://www.shufersal.co.il/online/he/c/A3102
A2901 | SBOX אשראי שופרסל | depth7 | parent A3102 דאורדורנט לנשים ולגברים | depth 7 | path B>A>B05>A31>A29>B0504>A3102>A2901 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > דאורדורנט לנשים ולגברים > SBOX אשראי שופרסל | url https://www.shufersal.co.il/online/he/c/A2901
B050401 | דאודורנט לגבר | depth8 | parent A2901 SBOX אשראי שופרסל | depth 8 | path B>A>B05>A31>A29>B0504>A3102>A2901>B050401 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > דאורדורנט לנשים ולגברים > SBOX אשראי שופרסל > דאודורנט לגבר | url https://www.shufersal.co.il/online/he/c/B050401
A310213 | דאודורנט סטיק לגבר | depth9 | parent B050401 דאודורנט לגבר | depth 9 | path B>A>B05>A31>A29>B0504>A3102>A2901>B050401>A310213 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > דאורדורנט לנשים ולגברים > SBOX אשראי שופרסל > דאודורנט לגבר > דאודורנט סטיק לגבר | url https://www.shufersal.co.il/online/he/c/A310213
A290101 | SBOX אשראי שופרסל | leaf | parent A310213 דאודורנט סטיק לגבר | depth 10 | path B>A>B05>A31>A29>B0504>A3102>A2901>B050401>A310213>A290101 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > SBOX אשראי שופרסל > מוצרי טיפוח לגבר - פנים / גוף > דאורדורנט לנשים ולגברים > SBOX אשראי שופרסל > דאודורנט לגבר > דאודורנט סטיק לגבר > SBOX אשראי שופרסל | url https://www.shufersal.co.il/online/he/c/A290101
B0502 | מוצרי גילוח לגבר | depth4 | parent A31 פארם וטיפוח | depth 4 | path B>A>B05>A31>B0502 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי גילוח לגבר | url https://www.shufersal.co.il/online/he/c/B0502
A3117 | מוצרים להסרת שיער | depth5 | parent B0502 מוצרי גילוח לגבר | depth 5 | path B>A>B05>A31>B0502>A3117 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי גילוח לגבר > מוצרים להסרת שיער | url https://www.shufersal.co.il/online/he/c/A3117
B050201 | קצף / קרם / ג'ל גילוח | depth6 | parent A3117 מוצרים להסרת שיער | depth 6 | path B>A>B05>A31>B0502>A3117>B050201 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי גילוח לגבר > מוצרים להסרת שיער > קצף / קרם / ג'ל גילוח | url https://www.shufersal.co.il/online/he/c/B050201
A311701 | ג'ל, קרם, קצף גילוח | leaf | parent B050201 קצף / קרם / ג'ל גילוח | depth 7 | path B>A>B05>A31>B0502>A3117>B050201>A311701 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי גילוח לגבר > מוצרים להסרת שיער > קצף / קרם / ג'ל גילוח > ג'ל, קרם, קצף גילוח | url https://www.shufersal.co.il/online/he/c/A311701
B050202 | מכונות גילוח / סכיני גילוח | depth6 | parent A3117 מוצרים להסרת שיער | depth 6 | path B>A>B05>A31>B0502>A3117>B050202 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי גילוח לגבר > מוצרים להסרת שיער > מכונות גילוח / סכיני גילוח | url https://www.shufersal.co.il/online/he/c/B050202
A311702 | סכיני גילוח ומכשירי גילוח | leaf | parent B050202 מכונות גילוח / סכיני גילוח | depth 7 | path B>A>B05>A31>B0502>A3117>B050202>A311702 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי גילוח לגבר > מוצרים להסרת שיער > מכונות גילוח / סכיני גילוח > סכיני גילוח ומכשירי גילוח | url https://www.shufersal.co.il/online/he/c/A311702
B050204 | קרם לאחר גילוח | depth6 | parent A3117 מוצרים להסרת שיער | depth 6 | path B>A>B05>A31>B0502>A3117>B050204 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי גילוח לגבר > מוצרים להסרת שיער > קרם לאחר גילוח | url https://www.shufersal.co.il/online/he/c/B050204
A311704 | קרם לאחר גילוח | leaf | parent B050204 קרם לאחר גילוח | depth 7 | path B>A>B05>A31>B0502>A3117>B050204>A311704 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי גילוח לגבר > מוצרים להסרת שיער > קרם לאחר גילוח > קרם לאחר גילוח | url https://www.shufersal.co.il/online/he/c/A311704
B0504 | מוצרי טיפוח לגבר - פנים / גוף | depth4 | parent A31 פארם וטיפוח | depth 4 | path B>A>B05>A31>B0504 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף | url https://www.shufersal.co.il/online/he/c/B0504
A3102 | דאורדורנט לנשים ולגברים | depth5 | parent B0504 מוצרי טיפוח לגבר - פנים / גוף | depth 5 | path B>A>B05>A31>B0504>A3102 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > דאורדורנט לנשים ולגברים | url https://www.shufersal.co.il/online/he/c/A3102
B050401 | דאודורנט לגבר | depth6 | parent A3102 דאורדורנט לנשים ולגברים | depth 6 | path B>A>B05>A31>B0504>A3102>B050401 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > דאורדורנט לנשים ולגברים > דאודורנט לגבר | url https://www.shufersal.co.il/online/he/c/B050401
A310213 | דאודורנט סטיק לגבר | leaf | parent B050401 דאודורנט לגבר | depth 7 | path B>A>B05>A31>B0504>A3102>B050401>A310213 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > דאורדורנט לנשים ולגברים > דאודורנט לגבר > דאודורנט סטיק לגבר | url https://www.shufersal.co.il/online/he/c/A310213
A3120 | מיוחדים בפארם ותינוקות | depth5 | parent B0504 מוצרי טיפוח לגבר - פנים / גוף | depth 5 | path B>A>B05>A31>B0504>A3120 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות | url https://www.shufersal.co.il/online/he/c/A3120
A3102 | דאורדורנט לנשים ולגברים | depth6 | parent A3120 מיוחדים בפארם ותינוקות | depth 6 | path B>A>B05>A31>B0504>A3120>A3102 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות > דאורדורנט לנשים ולגברים | url https://www.shufersal.co.il/online/he/c/A3102
B050401 | דאודורנט לגבר | depth7 | parent A3102 דאורדורנט לנשים ולגברים | depth 7 | path B>A>B05>A31>B0504>A3120>A3102>B050401 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות > דאורדורנט לנשים ולגברים > דאודורנט לגבר | url https://www.shufersal.co.il/online/he/c/B050401
A312019 | חגיגת טיפוח | depth8 | parent B050401 דאודורנט לגבר | depth 8 | path B>A>B05>A31>B0504>A3120>A3102>B050401>A312019 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות > דאורדורנט לנשים ולגברים > דאודורנט לגבר > חגיגת טיפוח | url https://www.shufersal.co.il/online/he/c/A312019
A310213 | דאודורנט סטיק לגבר | leaf | parent A312019 חגיגת טיפוח | depth 9 | path B>A>B05>A31>B0504>A3120>A3102>B050401>A312019>A310213 | pathHe פארם וקוסמטיקה > סופרמרקט > גברים > פארם וטיפוח > מוצרי טיפוח לגבר - פנים / גוף > מיוחדים בפארם ותינוקות > דאורדורנט לנשים ולגברים > דאודורנט לגבר > חגיגת טיפוח > דאודורנט סטיק לגבר | url https://www.shufersal.co.il/online/he/c/A310213
B03 | טיפוח פנים | subCategory | parent A סופרמרקט | depth 2 | path B>A>B03 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים | url https://www.shufersal.co.il/online/he/c/B03
A31 | פארם וטיפוח | depth3 | parent B03 טיפוח פנים | depth 3 | path B>A>B03>A31 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח | url https://www.shufersal.co.il/online/he/c/A31
B0306 | מוצרים לניקוי הפנים והסרת איפור | depth4 | parent A31 פארם וטיפוח | depth 4 | path B>A>B03>A31>B0306 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור | url https://www.shufersal.co.il/online/he/c/B0306
A3126 | טיפוח גוף ופנים והגנה מהשמש | depth5 | parent B0306 מוצרים לניקוי הפנים והסרת איפור | depth 5 | path B>A>B03>A31>B0306>A3126 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור > טיפוח גוף ופנים והגנה מהשמש | url https://www.shufersal.co.il/online/he/c/A3126
B030605 | מגבונים להסרת איפור | depth6 | parent A3126 טיפוח גוף ופנים והגנה מהשמש | depth 6 | path B>A>B03>A31>B0306>A3126>B030605 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור > טיפוח גוף ופנים והגנה מהשמש > מגבונים להסרת איפור | url https://www.shufersal.co.il/online/he/c/B030605
A312608 | קיסמי אוזניים ומוצרי צמר גפן | leaf | parent B030605 מגבונים להסרת איפור | depth 7 | path B>A>B03>A31>B0306>A3126>B030605>A312608 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור > טיפוח גוף ופנים והגנה מהשמש > מגבונים להסרת איפור > קיסמי אוזניים ומוצרי צמר גפן | url https://www.shufersal.co.il/online/he/c/A312608
B0305 | מוצרי טיפוח פנים | depth5 | parent B0306 מוצרים לניקוי הפנים והסרת איפור | depth 5 | path B>A>B03>A31>B0306>B0305 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור > מוצרי טיפוח פנים | url https://www.shufersal.co.il/online/he/c/B0305
A3126 | טיפוח גוף ופנים והגנה מהשמש | depth6 | parent B0305 מוצרי טיפוח פנים | depth 6 | path B>A>B03>A31>B0306>B0305>A3126 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור > מוצרי טיפוח פנים > טיפוח גוף ופנים והגנה מהשמש | url https://www.shufersal.co.il/online/he/c/A3126
B030604 | סבון ג'ל / פילינג לפנים | depth7 | parent A3126 טיפוח גוף ופנים והגנה מהשמש | depth 7 | path B>A>B03>A31>B0306>B0305>A3126>B030604 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור > מוצרי טיפוח פנים > טיפוח גוף ופנים והגנה מהשמש > סבון ג'ל / פילינג לפנים | url https://www.shufersal.co.il/online/he/c/B030604
B030501 | קרמים | depth8 | parent B030604 סבון ג'ל / פילינג לפנים | depth 8 | path B>A>B03>A31>B0306>B0305>A3126>B030604>B030501 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור > מוצרי טיפוח פנים > טיפוח גוף ופנים והגנה מהשמש > סבון ג'ל / פילינג לפנים > קרמים | url https://www.shufersal.co.il/online/he/c/B030501
A312606 | טיפוח פנים | leaf | parent B030501 קרמים | depth 9 | path B>A>B03>A31>B0306>B0305>A3126>B030604>B030501>A312606 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור > מוצרי טיפוח פנים > טיפוח גוף ופנים והגנה מהשמש > סבון ג'ל / פילינג לפנים > קרמים > טיפוח פנים | url https://www.shufersal.co.il/online/he/c/A312606
B030507 | מייבש פצעים | depth8 | parent B030604 סבון ג'ל / פילינג לפנים | depth 8 | path B>A>B03>A31>B0306>B0305>A3126>B030604>B030507 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור > מוצרי טיפוח פנים > טיפוח גוף ופנים והגנה מהשמש > סבון ג'ל / פילינג לפנים > מייבש פצעים | url https://www.shufersal.co.il/online/he/c/B030507
A312606 | טיפוח פנים | leaf | parent B030507 מייבש פצעים | depth 9 | path B>A>B03>A31>B0306>B0305>A3126>B030604>B030507>A312606 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרים לניקוי הפנים והסרת איפור > מוצרי טיפוח פנים > טיפוח גוף ופנים והגנה מהשמש > סבון ג'ל / פילינג לפנים > מייבש פצעים > טיפוח פנים | url https://www.shufersal.co.il/online/he/c/A312606
B0311 | שיזוף / הגנה מהשמש | depth4 | parent A31 פארם וטיפוח | depth 4 | path B>A>B03>A31>B0311 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > שיזוף / הגנה מהשמש | url https://www.shufersal.co.il/online/he/c/B0311
A3128 | מוצרי הגנה מהשמש לפנים ולגוף | depth5 | parent B0311 שיזוף / הגנה מהשמש | depth 5 | path B>A>B03>A31>B0311>A3128 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > שיזוף / הגנה מהשמש > מוצרי הגנה מהשמש לפנים ולגוף | url https://www.shufersal.co.il/online/he/c/A3128
B031103 | ג'ל אלוורה / ווזלין | depth6 | parent A3128 מוצרי הגנה מהשמש לפנים ולגוף | depth 6 | path B>A>B03>A31>B0311>A3128>B031103 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > שיזוף / הגנה מהשמש > מוצרי הגנה מהשמש לפנים ולגוף > ג'ל אלוורה / ווזלין | url https://www.shufersal.co.il/online/he/c/B031103
A312803 | ג'ל אלוורה | leaf | parent B031103 ג'ל אלוורה / ווזלין | depth 7 | path B>A>B03>A31>B0311>A3128>B031103>A312803 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > שיזוף / הגנה מהשמש > מוצרי הגנה מהשמש לפנים ולגוף > ג'ל אלוורה / ווזלין > ג'ל אלוורה | url https://www.shufersal.co.il/online/he/c/A312803
B031101 | הגנה מהשמש | depth6 | parent A3128 מוצרי הגנה מהשמש לפנים ולגוף | depth 6 | path B>A>B03>A31>B0311>A3128>B031101 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > שיזוף / הגנה מהשמש > מוצרי הגנה מהשמש לפנים ולגוף > הגנה מהשמש | url https://www.shufersal.co.il/online/he/c/B031101
A312801 | מוצרי הגנה מהשמש | leaf | parent B031101 הגנה מהשמש | depth 7 | path B>A>B03>A31>B0311>A3128>B031101>A312801 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > שיזוף / הגנה מהשמש > מוצרי הגנה מהשמש לפנים ולגוף > הגנה מהשמש > מוצרי הגנה מהשמש | url https://www.shufersal.co.il/online/he/c/A312801
B031102 | שיזוף עצמי | depth6 | parent A3128 מוצרי הגנה מהשמש לפנים ולגוף | depth 6 | path B>A>B03>A31>B0311>A3128>B031102 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > שיזוף / הגנה מהשמש > מוצרי הגנה מהשמש לפנים ולגוף > שיזוף עצמי | url https://www.shufersal.co.il/online/he/c/B031102
A312802 | שיזוף עצמי | leaf | parent B031102 שיזוף עצמי | depth 7 | path B>A>B03>A31>B0311>A3128>B031102>A312802 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > שיזוף / הגנה מהשמש > מוצרי הגנה מהשמש לפנים ולגוף > שיזוף עצמי > שיזוף עצמי | url https://www.shufersal.co.il/online/he/c/A312802
B0305 | מוצרי טיפוח פנים | depth4 | parent A31 פארם וטיפוח | depth 4 | path B>A>B03>A31>B0305 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרי טיפוח פנים | url https://www.shufersal.co.il/online/he/c/B0305
A3126 | טיפוח גוף ופנים והגנה מהשמש | depth5 | parent B0305 מוצרי טיפוח פנים | depth 5 | path B>A>B03>A31>B0305>A3126 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרי טיפוח פנים > טיפוח גוף ופנים והגנה מהשמש | url https://www.shufersal.co.il/online/he/c/A3126
B031206 | לוריאל - Loreal Cosmetic | depth6 | parent A3126 טיפוח גוף ופנים והגנה מהשמש | depth 6 | path B>A>B03>A31>B0305>A3126>B031206 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרי טיפוח פנים > טיפוח גוף ופנים והגנה מהשמש > לוריאל - Loreal Cosmetic | url https://www.shufersal.co.il/online/he/c/B031206
B030501 | קרמים | depth7 | parent B031206 לוריאל - Loreal Cosmetic | depth 7 | path B>A>B03>A31>B0305>A3126>B031206>B030501 | pathHe פארם וקוסמטיקה > סופרמרקט > טיפוח פנים > פארם וטיפוח > מוצרי טיפוח פנים > טיפוח גוף ופנים והגנה מהשמש > לוריאל - Loreal Cosmetic > קרמים | url https://www.shufersal.co.il/online/he/c/B030501
